idx,CHILD_SEX,IDD_SCORE,AGE,HHID_count,HH_AGE,FOOD_EXPENSE_WEEKLY,NON-FOOD_EXPENSE_WEEKLY,HDD_SCORE,FOOD_INSECURITY,YoungBoys,YoungGirls,AverageMonthlyIncome,BEN_4PS,AREA_TYPE,FOOD_EXPENSE_WEEKLY_pc,NON-FOOD_EXPENSE_WEEKLY_pc,AverageMonthlyIncome_pc
CV864,0,5,11,5,19.4,2482,877.375,9,2,-999,-999,4,1,0,496.4,175.475,0.8
CV1616,1,5,13,6,30.66666667,872,445.75,8,4,-999,-999,1,2,0,145.3333333,74.29166667,0.166666667
CV870,0,3,5,4,15.75,876,314.25,6,4,1,0,1,1,0,219,78.5625,0.25
CV814,0,8,5,3,19.33333333,1019.5,3467.5,9,2,1,0,4,1,0,339.8333333,1155.833333,1.333333333
CV861,0,6,7,4,17.5,989,1030.25,7,2,0,1,2,1,0,247.25,257.5625,0.5
CV1443,1,3,7,7,26.14285714,1994,1099.25,8,4,0,2,1,1,0,284.8571429,157.0357143,0.142857143
CV526,0,4,8,4,14.66666667,0,0,0,0,-999,-999,7,2,0,0,0,1.75
CV1602,1,7,12,8,30.25,2042,1925,8,4,-999,-999,1,1,0,255.25,240.625,0.125
CV857,0,4,11,3,24,1590,1334,9,3,-999,-999,5,1,0,530,444.6666667,1.666666667
CV1183,0,6,5,4,31.25,1801,592.25,8,3,1,0,1,1,0,450.25,148.0625,0.25
CV1429,0,6,5,7,12.85714286,510.5,340.645,7,3,2,1,2,1,0,72.92857143,48.66357143,0.285714286
CV815,0,8,5,7,27.57142857,1794,1822.5,7,3,2,0,4,1,0,256.2857143,260.3571429,0.571428571
CV1176,0,7,8,7,12.5,823,176,8,3,1,2,1,1,0,117.5714286,25.14285714,0.142857143
CV551,1,5,7,2,16.5,1691,111.395,7,3,-999,-999,1,1,0,845.5,55.6975,0.5
CV1149,0,6,11,6,14,1745,555.25,8,4,1,1,3,1,0,290.8333333,92.54166667,0.5
CV854,0,3,12,4,36.25,293,286.75,6,3,-999,-999,1,2,0,73.25,71.6875,0.25
CV1036,1,6,5,6,16,875,135,9,3,2,1,1,1,0,145.8333333,22.5,0.166666667
CV779,1,3,5,5,26.6,1445,1227.25,8,2,0,2,1,2,0,289,245.45,0.2
CV1057,1,7,5,4,30,1119,324,9,4,0,1,1,2,0,279.75,81,0.25
CV778,0,4,8,4,25,1248,582.5,8,4,1,0,1,1,0,312,145.625,0.25
CV688,0,6,7,3,29.33333333,3320,1995,9,3,-999,-999,2,1,0,1106.666667,665,0.666666667
CV687,0,7,8,4,19.25,1850,1250,8,4,-999,-999,4,2,0,462.5,312.5,1
CV1101,1,5,10,4,34.75,820,323.25,9,2,-999,-999,2,1,0,205,80.8125,0.5
CV1017,0,7,11,7,14.42857143,2513,695.8325,9,3,2,0,5,2,0,359,99.40464286,0.714285714
CV783,1,6,18,4,22.5,3210,957.1875,8,1,-999,-999,6,2,0,802.5,239.296875,1.5
CV1056,1,7,5,4,21.25,1664,620,9,3,0,1,1,2,0,416,155,0.25
CV1827,1,5,5,11,15.72727273,1983,2006.25,7,4,0,2,2,2,0,180.2727273,182.3863636,0.181818182
CV1571,1,7,5,6,15.66666667,1427,23666.25,8,2,0,1,1,1,0,237.8333333,3944.375,0.166666667
CV775,0,6,7,4,19,1491,132.5,8,2,0,1,3,1,0,372.75,33.125,0.75
CV352,0,7,8,4,24.5,1597,3127,9,2,-999,-999,3,1,0,399.25,781.75,0.75
CV689,0,7,7,4,24.5,1597,3127,9,2,-999,-999,3,1,0,399.25,781.75,0.75
CV440,1,4,10,8,30.875,1594,2735.5,9,2,1,0,9,1,0,199.25,341.9375,1.125
CV1018,0,7,10,7,16.28571429,1414,345.835,8,3,0,2,1,1,0,202,49.405,0.142857143
